t,,h
0.969985,,-12.8661
0.973487,,2.07367
0.976988,,3.45685
0.98049,,-8.77173
0.983992,,2.09172
0.987494,,-0.308932
0.990995,,0.923372
0.994497,,-16.9568
0.997999,,5.14141
1.0015,,-1.96779
1.005,,-10.6036
1.0085,,-4.13546
1.01201,,0.761143
1.01551,,-14.3724
1.01901,,-12.0505
1.02251,,-7.60079
1.02601,,-2.14277
1.02951,,2.54675
1.03302,,-10.1924
1.03652,,-7.66163
1.04002,,-15.3743
1.04352,,1.66232
1.04702,,-27.6
1.05053,,-13.4759
1.05403,,3.98476
1.05753,,-15.716
1.06103,,-5.03722
1.06453,,-8.57462
1.06803,,-1.37429
1.07154,,-3.53802
1.07504,,-8.9781
1.07854,,-4.85217
1.08204,,0.890902
1.08554,,5.73426
1.08904,,-0.412877
1.09255,,-6.13144
1.09605,,-5.93536
1.09955,,-6.50545
1.10305,,-14.7866
1.10655,,-1.64442
1.11006,,7.34883
1.11356,,0.340442
1.11706,,2.51729
1.12056,,-13.8778
1.12406,,-16.6403
1.12756,,-1.24945
1.13107,,-27.7673
1.13457,,-16.2003
1.13807,,0.427663
1.14157,,-11.0282
1.14507,,-10.5192
1.14857,,-3.66962
1.15208,,-15.8687
1.15558,,-2.44096
1.15908,,-8.98944
1.16258,,-11.607
1.16608,,2.07693
1.16958,,-4.5907
1.17309,,-17.9257
1.17659,,-6.06138
1.18009,,-2.9617
1.18359,,-1.50082
1.18709,,-14.5136
1.1906,,-2.51839
1.1941,,0.188595
1.1976,,-10.5488
1.2011,,-16.1275
1.2046,,-12.3479
1.2081,,2.56969
1.21161,,-4.37575
1.21511,,-10.0246
1.21861,,9.77016
1.22211,,-16.5153
1.22561,,-6.86065
1.22911,,-2.67489
1.23262,,-2.80896
1.23612,,1.57228
1.23962,,5.5586
1.24312,,-7.84438
1.24662,,-3.05158
1.25013,,-0.605025
1.25363,,2.36067
1.25713,,0.478323
1.26063,,-0.0560398
1.26413,,7.96938
1.26763,,3.99627
1.27114,,0.678735
1.27464,,-11.9648
1.27814,,10.0026
1.28164,,7.77893
1.28514,,9.57249
1.28864,,1.30596
1.29215,,7.17277
1.29565,,1.23104
1.29915,,-1.32887
1.30265,,2.73144
1.30615,,0.452335
